Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AS,IFAS
1973,Freddie Boyd,PG,22,PHI,82,,2351,10.1,0.425,,0.217,,,4,17.6,,,,,-1.7,1,-0.7,-0.014,,,,,362,923,0.392,,,,362,923,0.392,0.392,136,200,0.68,,,210,301,,,,184,860,0,0
1973,Steve Bracey,PG,22,ATL,70,,1050,12.7,0.515,,0.278,,,4.9,15.9,,,,,1.4,0.7,2.1,0.097,,,,,192,395,0.486,,,,192,395,0.486,0.486,73,110,0.664,,,107,125,,,,125,457,0,0
1973,John Brisker,SF,25,SEA,70,,1633,16.4,0.492,,0.292,,,9.3,14,,,,,1.7,0.6,2.3,0.069,,,,,352,809,0.435,,,,352,809,0.435,0.435,194,236,0.822,,,319,150,,,,169,898,0,0
1973,Roger Brown,C,22,LAL,1,,5,-1.7,0.379,,,,,0,0,,,,,0,0,0,-0.04,,,,,0,0,,,,,0,0,,,1,3,0.333,,,0,0,,,,1,1,0,0
1973,Corky Calhoun,SF,22,PHO,82,,2025,7.5,0.501,,0.213,,,8.1,4.6,,,,,1.1,0.9,2.1,0.049,,,,,211,450,0.469,,,,211,450,0.469,0.469,71,96,0.74,,,338,76,,,,214,493,0,0
1973,Bob Davis,SF,22,POR,9,,41,-1,0.261,,0.214,,,5.9,6.4,,,,,-0.3,0,-0.3,-0.396,,,,,6,28,0.214,,,,6,28,0.214,0.214,4,6,0.667,,,5,2,,,,5,16,0,0
1973,Dwight Davis,PF,23,CLE,81,,2151,10.9,0.451,,0.297,,,12.7,7.5,,,,,-0.5,2.8,2.3,0.051,,,,,293,748,0.392,,,,293,748,0.392,0.392,176,222,0.793,,,563,118,,,,297,762,0,0
1973,Mickey Davis,SF,22,MIL,74,,1046,12.2,0.49,,0.265,,,10.5,8.5,,,,,0.7,1.6,2.3,0.106,,,,,152,347,0.438,,,,152,347,0.438,0.438,76,92,0.826,,,226,72,,,,119,380,0,0
1973,Charles Dudley,PG,22,SEA,12,,99,12.3,0.566,,0.696,,,2.9,21,,,,,0.2,0,0.2,0.113,,,,,10,23,0.435,,,,10,23,0.435,0.435,14,16,0.875,,,6,16,,,,15,34,0,0
1973,Scott English,SF,22,PHO,29,,196,11.2,0.44,,0.312,,,10.9,10.5,,,,,-0.1,0.1,0,0.002,,,,,36,93,0.387,,,,36,93,0.387,0.387,21,29,0.724,,,44,15,,,,38,93,0,0
1973,Chris Ford,SG,24,DET,74,,1537,12.1,0.501,,0.214,,,8.4,15.9,,,,,1.3,1.3,2.5,0.079,,,,,208,434,0.479,,,,208,434,0.479,0.479,60,93,0.645,,,266,194,,,,133,476,0,0
1973,Harold Fox,PG,23,BUF,10,,84,10,0.436,,0.25,,,4.5,15.8,,,,,0,0,0,-0.014,,,,,12,32,0.375,,,,12,32,0.375,0.375,7,8,0.875,,,8,10,,,,7,31,0,0
1973,Rowland Garrett,SF,22,CHI,35,,211,16.7,0.475,,0.263,,,14.5,6,,,,,0.1,0.4,0.5,0.115,,,,,52,118,0.441,,,,52,118,0.441,0.441,21,31,0.677,,,61,8,,,,29,125,0,0
1973,John Gianelli,C,22,NYK,52,,516,12.1,0.478,,0.189,,,14.4,6.3,,,,,0.2,1,1.2,0.11,,,,,79,175,0.451,,,,79,175,0.451,0.451,23,33,0.697,,,150,25,,,,72,181,0,0
1973,Travis Grant,SF,23,LAL,33,,153,22.3,0.49,,0.224,,,15.5,7.5,,,,,0.2,0.3,0.5,0.144,,,,,51,116,0.44,,,,51,116,0.44,0.44,23,26,0.885,,,52,7,,,,19,125,0,0
1973,Luther Green,PF,26,PHI,5,,32,-9.4,0.1,,0.818,,,4.2,0,,,,,-0.3,0,-0.3,-0.444,,,,,0,11,0,,,,0,11,0,0,3,9,0.333,,,3,0,,,,3,3,0,0
1973,Charles Johnson,SG,23,GSW,70,,887,12.5,0.446,,0.115,,,6.8,17.8,,,,,-0.3,1.2,0.9,0.05,,,,,171,400,0.428,,,,171,400,0.428,0.428,33,46,0.717,,,132,118,,,,105,375,0,0
1973,Ollie Johnson,SF,23,POR,78,,2138,13.5,0.543,,0.332,,,9.4,12.2,,,,,3.5,0.7,4.1,0.093,,,,,308,620,0.497,,,,308,620,0.497,0.497,156,206,0.757,,,417,200,,,,166,772,0,0
1973,Manny Leaks,C,27,PHI,82,,2530,11.1,0.44,,0.214,,,11.9,5.1,,,,,-1.2,1.3,0.2,0.003,,,,,377,933,0.404,,,,377,933,0.404,0.404,144,200,0.72,,,677,95,,,,191,898,0,0
1973,Russ Lee,SF,23,MIL,46,,277,13.6,0.445,,0.339,,,7.5,17.7,,,,,-0.1,0.4,0.3,0.055,,,,,49,127,0.386,,,,49,127,0.386,0.386,32,43,0.744,,,43,38,,,,36,130,0,0
1973,LaRue Martin,C,22,POR,77,,996,10.5,0.425,,0.21,,,17.4,5.5,,,,,-0.8,0.4,-0.4,-0.019,,,,,145,366,0.396,,,,145,366,0.396,0.396,50,77,0.649,,,358,42,,,,162,340,0,0
1973,Bob McAdoo,PF,21,BUF,80,,2562,16.8,0.498,,0.271,,,13.3,8.1,,,,,3.1,0.7,3.8,0.071,,,,,585,1293,0.452,,,,585,1293,0.452,0.452,271,350,0.774,,,728,139,,,,256,1441,5,1
1973,Paul McCracken,SG,22,HOU,24,,305,10.9,0.523,,0.438,,,7.8,6.8,,,,,0.4,0.2,0.5,0.085,,,,,44,89,0.494,,,,44,89,0.494,0.494,23,39,0.59,,,51,17,,,,32,111,0,0
1973,Eric McWilliams,PF,22,HOU,44,,245,5.9,0.376,,0.378,,,11.5,2.5,,,,,-0.5,0.2,-0.4,-0.074,,,,,34,98,0.347,,,,34,98,0.347,0.347,18,37,0.486,,,60,5,,,,46,86,0,0
1973,Mark Minor,SF,22,BOS,4,,20,6.8,0.434,,1,,,9,10.9,,,,,0,0,0,0.081,,,,,1,4,0.25,,,,1,4,0.25,0.25,3,4,0.75,,,4,2,,,,5,5,0,0
1973,Bob Nash,SF,22,DET,36,,169,2.6,0.271,,0.236,,,9.8,11.4,,,,,-0.8,0.1,-0.7,-0.199,,,,,16,72,0.222,,,,16,72,0.222,0.222,11,17,0.647,,,34,16,,,,30,43,0,0
1973,Lloyd Neal,C,22,POR,82,,2723,15.2,0.522,,0.318,,,17.2,7.2,,,,,3.7,1.1,4.8,0.085,,,,,455,921,0.494,,,,455,921,0.494,0.494,187,293,0.638,,,967,146,,,,305,1097,0,0
1973,Tom Patterson,PF,24,BAL,23,,92,15.5,0.491,,0.327,,,11.2,4.7,,,,,0.1,0.1,0.2,0.116,,,,,21,49,0.429,,,,21,49,0.429,0.429,13,16,0.813,,,22,3,,,,18,55,0,0
1973,Kevin Porter,PG,22,BAL,71,,1217,12.4,0.476,,0.224,,,2.8,25.7,,,,,0.7,1.6,2.3,0.089,,,,,205,451,0.455,,,,205,451,0.455,0.455,62,101,0.614,,,72,237,,,,206,472,0,0
1973,Jim Price,PG,23,LAL,59,,828,12.7,0.481,,0.203,,,6.3,15.5,,,,,0.5,1,1.5,0.088,,,,,158,359,0.44,,,,158,359,0.44,0.44,60,73,0.822,,,115,97,,,,119,376,1,1
1973,Mike Ratliff,C,21,KCO,58,,681,10.2,0.443,,0.357,,,14.8,7.2,,,,,-0.3,0.1,-0.2,-0.014,,,,,98,235,0.417,,,,98,235,0.417,0.417,45,84,0.536,,,194,38,,,,111,241,0,0
1973,Tom Riker,C,22,NYK,14,,65,14.1,0.506,,1,,,12.2,4,,,,,0.1,0.1,0.2,0.151,,,,,10,24,0.417,,,,10,24,0.417,0.417,15,24,0.625,,,16,2,,,,15,35,0,0
1973,Ron Riley,PF,22,KCO,74,,1634,11.7,0.456,,0.183,,,16.2,6.2,,,,,-0.2,0.2,0,0,,,,,273,634,0.431,,,,273,634,0.431,0.431,79,116,0.681,,,507,76,,,,226,625,0,0
1973,Frank Russell,SG,23,CHI,23,,131,14.5,0.436,,0.234,,,6.5,17.4,,,,,-0.1,0.2,0.1,0.03,,,,,29,77,0.377,,,,29,77,0.377,0.377,16,18,0.889,,,17,15,,,,12,74,0,0
1973,Frank Schade,PG,23,KCO,9,,76,5.8,0.519,,0.857,,,4.1,14.8,,,,,0,0,0,0.031,,,,,2,7,0.286,,,,2,7,0.286,0.286,6,6,1,,,6,10,,,,12,10,0,0
1973,Sam Sibert,PF,23,KCO,5,,26,6.4,0.395,,0.385,,,8,0,,,,,-0.1,0,-0.1,-0.105,,,,,4,13,0.308,,,,4,13,0.308,0.308,4,5,0.8,,,4,0,,,,4,12,0,0
1973,Bud Stallworth,SF,23,SEA,77,,1225,9.3,0.421,,0.218,,,8.7,6.7,,,,,-1.3,0.4,-0.9,-0.036,,,,,198,522,0.379,,,,198,522,0.379,0.379,86,114,0.754,,,225,58,,,,138,482,0,0
1973,Paul Stovall,SF,24,PHO,25,,211,9.4,0.41,,0.5,,,14,7.8,,,,,-0.3,0.1,-0.1,-0.024,,,,,26,76,0.342,,,,26,76,0.342,0.342,24,38,0.632,,,61,13,,,,37,76,0,0
1973,Chuck Terry,SF,22,MIL,67,,693,5,0.368,,0.148,,,10.1,6.6,,,,,-0.9,1,0.1,0.004,,,,,55,162,0.34,,,,55,162,0.34,0.34,17,24,0.708,,,145,40,,,,116,127,0,0
1973,Justus Thigpen,SG,25,DET,18,,99,7.8,0.404,,0,,,4.4,11.6,,,,,-0.2,0.1,-0.1,-0.061,,,,,23,57,0.404,,,,23,57,0.404,0.404,0,0,,,,9,8,,,,18,46,0,0
1973,John Tschogl,SF,22,ATL,10,,94,4.6,0.359,,0.1,,,10.6,8.1,,,,,-0.2,0.1,-0.2,-0.081,,,,,14,40,0.35,,,,14,40,0.35,0.35,2,4,0.5,,,21,6,,,,25,30,0,0
1973,Paul Westphal,SG,22,BOS,60,,482,14.2,0.49,,0.406,,,6.3,18.3,,,,,0.5,0.9,1.4,0.14,,,,,89,212,0.42,,,,89,212,0.42,0.42,67,86,0.779,,,67,69,,,,88,245,5,1
1973,Harthorne Wingo,PF,25,NYK,13,,59,8.1,0.406,,0.273,,,13.4,2.2,,,,,-0.1,0.1,0,0.013,,,,,9,22,0.409,,,,9,22,0.409,0.409,2,6,0.333,,,16,1,,,,9,20,0,0
1973,Joby Wright,PF,22,SEA,77,,931,9.2,0.478,,0.32,,,11.1,5.3,,,,,0.3,0.3,0.6,0.033,,,,,133,278,0.478,,,,133,278,0.478,0.478,37,89,0.416,,,218,36,,,,164,303,0,0
1974,Mike Bantom,PF,22,PHO,76,,1982,11.7,0.437,,0.271,8.9,17.5,13.3,11.1,1.1,1.2,,,-0.8,1.3,0.5,0.012,-2.3,-0.7,-2.9,-0.5,314,787,0.399,,,,314,787,0.399,0.399,141,213,0.662,172,347,519,163,50,47,,289,769,0,0
1974,Ron Behagen,PF,23,KCO,80,,2059,13.9,0.476,,0.256,9.6,19.3,14.4,9.5,1.2,0.9,,,0.2,1.8,2,0.046,-1.2,-0.9,-2.1,0,357,827,0.432,,,,357,827,0.432,0.432,162,212,0.764,188,379,567,134,56,37,,291,876,0,0
1974,Dennis Bell,SF,22,NYK,1,,4,-6.8,0,,0,0,0,0,0,0,0,,,0,0,0,-0.222,-15.1,-1.7,-16.8,0,0,1,0,,,,0,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
1974,Jim Brewer,PF,22,CLE,82,,1862,10.9,0.415,,0.224,10.8,18.5,14.4,10.6,1.1,1,,,-0.3,1.5,1.3,0.032,-2.9,0.5,-2.4,-0.2,210,548,0.383,,,,210,548,0.383,0.383,80,123,0.65,207,317,524,149,46,35,,192,500,0,0
1974,Allan Bristow,SF,22,PHI,55,,643,15,0.437,,0.211,9.7,15.4,12.5,21.2,2,0.1,,,-0.1,0.6,0.5,0.039,-0.5,-0.1,-0.6,0.2,108,270,0.4,,,,108,270,0.4,0.4,42,57,0.737,68,99,167,92,29,1,,68,258,0,0
1974,John Brown,SF,22,ATL,77,,1715,12.8,0.493,,0.343,10.2,15.8,12.9,8.9,0.7,0.5,,,1.2,1.1,2.3,0.063,-1.2,-1.6,-2.8,-0.4,277,632,0.438,,,,277,632,0.438,0.438,163,217,0.751,177,264,441,114,29,16,,239,717,0,0
1974,Larry Cannon,SG,26,PHI,19,,335,10.2,0.42,,0.22,4.4,6,5.2,22.2,0.9,0.6,,,-0.3,0.1,-0.2,-0.029,-2.8,-2.3,-5.1,-0.3,49,127,0.386,,,,49,127,0.386,0.386,19,28,0.679,16,20,36,52,7,4,,48,117,0,0
1974,Bill Chamberlain,SF,24,PHO,28,,367,14.2,0.495,,0.431,9.2,12.8,11,13.5,2.4,1.7,,,0.2,0.3,0.5,0.063,0,-0.1,-0.1,0.2,57,130,0.438,,,,57,130,0.438,0.438,39,56,0.696,33,47,80,37,20,12,,74,153,0,0
1974,Ken Charles,SG,22,BUF,59,,693,10.2,0.521,,0.427,3.7,5.6,4.7,9.6,1.9,0.7,,,0.3,0.3,0.6,0.045,-2.6,-1.4,-3.9,-0.3,88,185,0.476,,,,88,185,0.476,0.476,53,79,0.671,25,40,65,54,31,10,,91,229,0,0
1974,E.C. Coleman,PF,23,HOU,58,,1075,11.3,0.536,,0.296,8.1,16.8,12.5,9.1,1.6,1,,,0.8,0.8,1.7,0.074,-1.6,0.4,-1.1,0.2,128,250,0.512,,,,128,250,0.512,0.512,47,74,0.635,81,171,252,76,37,20,,162,303,0,0
1974,Doug Collins,SG,22,PHI,25,,436,10.5,0.441,,0.371,1.5,9,5.1,13.5,1.3,0.2,,,-0.5,0.2,-0.3,-0.028,-3.6,-2.8,-6.3,-0.5,72,194,0.371,,,,72,194,0.371,0.371,55,72,0.764,7,39,46,40,13,2,,65,199,4,1
1974,Mike D'Antoni,SG,22,KCO,52,,989,10.4,0.431,,0.177,2.5,7.3,4.9,16.7,3.4,0.8,,,-0.7,0.9,0.3,0.012,-3.2,0.8,-2.4,-0.1,107,266,0.402,,,,107,266,0.402,0.402,33,47,0.702,24,69,93,123,75,15,,112,247,0,0
1974,Mel Davis,PF,23,NYK,30,,167,10.5,0.382,,0.168,10.7,23.3,17,7,0.8,1.3,,,-0.4,0.3,-0.2,-0.045,-5.9,-3,-8.9,-0.3,33,95,0.347,,,,33,95,0.347,0.347,12,16,0.75,17,37,54,8,3,4,,36,78,0,0
1974,Derrek Dickey,PF,22,GSW,66,,930,13.4,0.536,,0.283,12.8,21.5,17.2,7.1,0.8,0.8,,,1.3,1,2.3,0.116,-1.1,-0.4,-1.5,0.1,115,233,0.494,,,,115,233,0.494,0.494,51,66,0.773,123,216,339,54,17,15,,112,281,0,0
1974,Ernie DiGregorio,PG,23,BUF,81,,2910,13.6,0.459,,0.153,1.7,5.7,3.7,30.1,0.9,0.2,,,0.9,0.4,1.2,0.021,-0.4,-3.2,-3.6,-1.2,530,1260,0.421,,,,530,1260,0.421,0.421,174,193,0.902,48,171,219,663,59,9,,242,1234,0,0
1974,Steve Downing,C,23,BOS,24,,137,10.2,0.396,,0.594,10.2,17.2,13.8,10.5,1.6,0,,,-0.3,0.2,-0.1,-0.038,-4,-2.2,-6.3,-0.1,21,64,0.328,,,,21,64,0.328,0.328,22,38,0.579,14,25,39,11,5,0,,33,64,0,0
1974,Rod Freeman,SF,23,PHI,35,,265,10.9,0.438,,0.398,7.6,12.1,9.8,7.6,2,0.2,,,-0.2,0.2,0,0,-3.8,-1.8,-5.6,-0.2,39,103,0.379,,,,39,103,0.379,0.379,28,41,0.683,22,32,54,14,12,1,,42,106,0,0
1974,Bernie Fryer,SG,24,POR,80,,1674,13.2,0.508,,0.275,3.6,6.1,4.9,21.5,2.4,0.3,,,1.2,0.3,1.6,0.046,-0.6,-1.7,-2.3,-0.1,226,491,0.46,,,,226,491,0.46,0.46,107,135,0.793,60,99,159,279,92,10,,187,559,0,0
1974,Jim Garvin,PF,23,BUF,6,,11,3.9,0.25,,0,9.3,35.2,22.6,0,0,0,,,0,0,0,-0.134,-14.1,-7.4,-21.5,-0.1,1,4,0.25,,,,1,4,0.25,0.25,0,0,,1,4,5,0,0,0,,1,2,0,0
1974,Phil Hankinson,SF,22,BOS,28,,163,18.1,0.506,,0.126,13.4,16.2,14.8,4,0.8,0.3,,,0.3,0.2,0.5,0.143,-0.9,-4.7,-5.6,-0.1,50,103,0.485,,,,50,103,0.485,0.485,10,13,0.769,22,28,50,4,3,1,,18,110,0,0
1974,Nate Hawthorne,SG,24,LAL,33,,229,12.8,0.464,,0.516,6.7,6.1,6.4,13.8,1.7,1.2,,,0,0.2,0.1,0.03,-2.3,-2.3,-4.6,-0.1,38,93,0.409,,,,38,93,0.409,0.409,30,48,0.625,16,16,32,23,9,6,,33,106,0,0
1974,Tom Ingelsby,PG,22,ATL,48,,398,9.5,0.438,,0.282,2.5,8.8,5.6,11.8,2.1,0.5,,,-0.2,0.3,0.1,0.014,-4.7,-1.2,-5.9,-0.4,50,131,0.382,,,,50,131,0.382,0.382,29,37,0.784,10,34,44,37,19,4,,43,129,0,0
1974,Dwight Jones,PF,21,ATL,74,,1448,14.6,0.519,,0.311,9.9,21.9,15.8,7.9,0.9,2.3,,,1.4,1.6,2.9,0.098,-1.6,-0.1,-1.7,0.1,238,502,0.474,,,,238,502,0.474,0.474,116,156,0.744,145,309,454,86,29,64,,197,592,0,0
1974,Ben Kelso,SG,24,DET,46,,298,6.8,0.402,,0.229,5.2,5.5,5.3,8,1.8,0.2,,,-0.3,0.3,0,0,-5.4,-1,-6.4,-0.3,35,96,0.365,,,,35,96,0.365,0.365,15,22,0.682,15,16,31,18,12,1,,45,85,0,0
1974,Tom Kozelko,PF,22,CAP,49,,573,9.4,0.479,,0.241,8.5,12.1,10.3,5.6,1.7,0.6,,,0.2,0.8,1,0.08,-3.3,1.1,-2.2,0,59,133,0.444,,,,59,133,0.444,0.444,23,32,0.719,52,72,124,25,21,7,,82,141,0,0
1974,Kevin Kunnert,C,22,TOT,64,,701,12.6,0.503,,0.153,12.4,19.4,16,7.9,0.6,4,,,0.3,0.7,1,0.066,-2.1,0.2,-1.9,0,105,215,0.488,,,,105,215,0.488,0.488,21,33,0.636,83,134,217,43,10,54,,151,231,0,0
1974,Mike Macaluso,SF,22,BUF,30,,112,10.2,0.466,,0.386,9.1,13,11.1,3.5,2.7,0.4,,,-0.1,0.1,0,-0.001,-3.6,-2.9,-6.5,-0.1,19,44,0.432,,,,19,44,0.432,0.432,10,17,0.588,10,15,25,3,7,1,,31,48,0,0
1974,Ted Manakas,SG,22,KCO,5,,45,7.2,0.51,,0.4,0,7,3.5,5.8,1,0,,,0,0,0,0.014,-5.5,-2.3,-7.7,-0.1,4,10,0.4,,,,4,10,0.4,0.4,4,4,1,0,3,3,2,1,0,,4,12,0,0
1974,Vester Marshall,SF,25,SEA,13,,174,3.4,0.265,,0.241,7.5,13.5,10.3,2.7,1,0.9,,,-0.2,0.1,-0.1,-0.034,-8.2,0.3,-7.9,-0.3,7,29,0.241,,,,7,29,0.241,0.241,3,7,0.429,14,23,37,4,4,3,,20,17,0,0
1974,Allie McGuire,SG,22,NYK,2,,10,10.3,0.5,,0,0,21,10.5,14.7,0,0,,,0,0,0,0.029,-3.8,-1.8,-5.7,0,2,4,0.5,,,,2,4,0.5,0.5,0,0,,0,2,2,1,0,0,,2,4,0,0
1974,Larry McNeill,PF,23,KCO,54,,516,20.9,0.552,,0.636,12.2,17.5,14.8,7.2,3.1,0.6,,,0.9,0.6,1.5,0.142,2.3,-1.9,0.4,0.3,106,220,0.482,,,,106,220,0.482,0.482,99,140,0.707,60,86,146,24,35,6,,76,311,0,0
1974,Gary Melchionni,PG,23,PHO,69,,1251,13,0.51,,0.244,3.8,7.7,5.7,15.4,1.4,0.4,,,1.5,0.3,1.8,0.07,-1.2,-1.9,-3.1,-0.3,202,439,0.46,,,,202,439,0.46,0.46,92,107,0.86,46,96,142,142,41,9,,85,496,0,0
1974,Louie Nelson,SG,22,CAP,49,,556,13.7,0.484,,0.34,4.4,7.6,6,13.1,2.5,0.2,,,0.3,0.8,1.1,0.091,-1.1,-0.2,-1.4,0.1,93,215,0.433,,,,93,215,0.433,0.433,53,73,0.726,26,44,70,52,31,2,,62,239,0,0
1974,Jim Owens,SF,23,PHO,17,,101,18.1,0.587,,0.359,1,7.9,4.5,21.5,2.2,0,,,0.3,0,0.3,0.148,1.2,-3.1,-1.9,0,21,39,0.538,,,,21,39,0.538,0.538,11,14,0.786,1,8,9,15,5,0,,6,53,0,0
1974,Ed Ratleff,SF,23,HOU,81,,1773,12.5,0.476,,0.221,5.7,11.5,8.6,13.5,2.3,0.8,,,0.8,1.3,2.1,0.058,-1.6,0.2,-1.4,0.3,254,585,0.434,,,,254,585,0.434,0.434,103,129,0.798,93,193,286,181,90,27,,182,611,0,0
1974,Joe Reaves,SF,23,PHO,7,,38,10.8,0.505,,1,5.4,15.8,10.7,3.5,0,2.7,,,0,0,0,-0.013,-4.5,-3.4,-7.9,-0.1,6,11,0.545,,,,6,11,0.545,0.545,4,11,0.364,2,6,8,1,0,2,,6,16,0,0
1974,Mark Sibley,SG,23,POR,28,,124,9.3,0.389,,0.125,7.3,13.4,10.3,14,1.4,0.4,,,-0.2,0,-0.2,-0.065,-4.5,-3.1,-7.5,-0.2,20,56,0.357,,,,20,56,0.357,0.357,6,7,0.857,9,16,25,13,4,1,,23,46,0,0
1974,Bob Verga,SG,28,POR,21,,216,13.3,0.486,,0.344,5.1,3.4,4.3,11,2.5,0,,,0.1,0,0.1,0.032,-1.6,-3.6,-5.2,-0.2,42,93,0.452,,,,42,93,0.452,0.452,20,32,0.625,11,7,18,17,12,0,,22,104,0,0
1974,Kermit Washington,PF,22,LAL,45,,400,15.6,0.498,,0.325,14.8,18.7,16.8,6.7,2.3,2.1,,,0.2,0.7,0.8,0.099,-1.3,-0.3,-1.6,0,73,151,0.483,,,,73,151,0.483,0.483,26,49,0.531,62,85,147,19,21,18,,77,172,1,1
1974,Slick Watts,PG,22,SEA,62,,1424,14.7,0.429,,0.304,4.7,7.9,6.2,32.1,3.5,0.5,,,-0.5,1.6,1.2,0.039,0.5,0.5,1,1.1,198,510,0.388,,,,198,510,0.388,0.388,100,155,0.645,72,110,182,351,115,13,,207,496,0,0
1974,Nick Weatherspoon,SF,23,CAP,65,,1216,13.2,0.454,,0.288,10.3,20.9,15.5,4.4,1.8,0.7,,,-0.1,2.2,2.1,0.082,-2.9,-0.4,-3.2,-0.4,199,483,0.412,,,,199,483,0.412,0.412,96,139,0.691,133,264,397,38,48,16,,179,494,0,0
1974,Luke Witte,C,23,CLE,57,,728,12.7,0.474,,0.255,10.6,22,16,7.8,0.5,1.6,,,0.4,0.6,1,0.067,-2.8,-1,-3.8,-0.3,105,243,0.432,,,,105,243,0.432,0.432,46,62,0.742,80,147,227,41,8,22,,91,256,0,0
1975,Dan Anderson,SG,24,POR,43,,453,11.2,0.508,,0.286,1.9,4.6,3.4,23.7,1.6,0.1,,,0.2,0.2,0.5,0.05,-2.8,-2.6,-5.4,-0.4,47,105,0.448,,,,47,105,0.448,0.448,26,30,0.867,8,21,29,81,16,1,,44,120,0,0
1975,Jim Ard,C,26,BOS,59,,719,9.5,0.384,,0.244,8.2,19.2,13.8,7.1,0.8,2.3,,,-0.8,1.1,0.4,0.025,-5.8,0,-5.8,-0.7,89,266,0.335,,,,89,266,0.335,0.335,48,65,0.738,59,140,199,40,13,32,,96,226,0,0
1975,Gus Bailey,SG,23,HOU,47,,446,11.4,0.423,,0.325,5.7,14.8,10.3,17.5,1.8,2,,,-0.3,0.4,0.2,0.017,-3.4,0.5,-2.9,-0.1,51,126,0.405,,,,51,126,0.405,0.405,20,41,0.488,23,59,82,59,17,16,,52,122,0,0
1975,Leon Benbow,SG,24,CHI,39,,252,10.8,0.417,,0.191,5.9,10,7.9,15.1,2.1,1.3,,,-0.2,0.4,0.2,0.033,-3.2,-0.2,-3.4,-0.1,35,94,0.372,,,,35,94,0.372,0.372,15,18,0.833,14,24,38,25,11,6,,41,85,0,0
1975,Ken Boyd,SF,22,NOJ,6,,25,25.3,0.533,,0.846,11.6,8.3,10,14.4,5.3,0,,,0,0,0.1,0.109,5.4,-0.9,4.5,0,7,13,0.538,,,,7,13,0.538,0.538,5,11,0.455,3,2,5,2,3,0,,2,19,0,0
1975,Gary Brokaw,SG,21,MIL,73,,1639,12.2,0.499,,0.358,2.4,6.8,4.7,18.5,0.9,0.6,,,0.8,0.8,1.6,0.047,-1.1,-1.8,-2.9,-0.4,234,514,0.455,,,,234,514,0.455,0.455,126,184,0.685,36,111,147,221,31,18,,176,594,0,0
1975,Tom Burleson,C,22,SEA,82,,1888,16.1,0.465,,0.343,8.4,22.7,15.5,8.6,1.5,4.2,,,0.2,3.1,3.3,0.083,-2.2,1.4,-0.8,0.6,322,772,0.417,,,,322,772,0.417,0.417,182,265,0.687,155,417,572,115,64,153,,221,826,0,0
1975,Harvey Catchings,C,23,PHI,37,,528,12.1,0.576,,0.338,9.3,20.1,14.7,5.2,0.9,6,,,0.3,0.8,1.2,0.107,-3.5,3.6,0.1,0.3,41,74,0.554,,,,41,74,0.554,0.554,16,25,0.64,49,104,153,21,10,60,,82,98,0,0
1975,Jim Chones,C,25,CLE,72,,2427,16.1,0.515,,0.245,6.8,22.8,14.8,8.1,1,2.7,,,2.8,3.5,6.2,0.123,-0.4,1.2,0.8,1.7,446,916,0.487,,,,446,916,0.487,0.487,152,224,0.679,156,521,677,132,49,120,,247,1044,0,0
1975,Ben Clyde,SF,23,BOS,25,,157,11.3,0.454,,0.125,9.6,16.3,13,4.5,1.4,1,,,0,0.2,0.2,0.066,-3.7,-2.1,-5.9,-0.2,31,72,0.431,,,,31,72,0.431,0.431,7,9,0.778,15,26,41,5,5,3,,34,69,0,0
1975,Jesse Dark,SG,23,NYK,47,,401,11,0.487,,0.255,3.8,5.8,4.8,11.2,0.3,0.1,,,0.2,0.1,0.3,0.034,-2.2,-3.8,-6,-0.4,74,157,0.471,,,,74,157,0.471,0.471,22,40,0.55,15,22,37,30,3,1,,48,170,0,0
1975,Rod Derline,SG,22,SEA,58,,666,12.2,0.458,,0.169,1.8,7.3,4.5,10.2,1.6,0.3,,,0.1,0.4,0.5,0.033,-3.4,-3,-6.4,-0.7,142,332,0.428,,,,142,332,0.428,0.428,43,56,0.768,12,47,59,45,23,4,,47,327,0,0
1975,John Drew,PF,20,ATL,78,,2289,21.4,0.491,,0.442,14.4,21.7,17.8,9.5,2.3,0.9,,,4.2,3,7.1,0.149,3.4,-0.7,2.7,2.7,527,1230,0.428,,,,527,1230,0.428,0.428,388,544,0.713,357,479,836,138,119,39,,274,1442,2,1
1975,Dennis DuVal,PG,22,WSB,37,,137,13.1,0.411,,0.277,5.9,11,8.4,14.1,5.3,0.8,,,-0.2,0.4,0.1,0.038,-2.2,2.2,0,0.1,24,65,0.369,,,,24,65,0.369,0.369,12,18,0.667,8,15,23,14,16,2,,34,60,0,0
1975,Al Eberhard,SF,22,DET,34,,277,9.4,0.419,,0.247,7.2,11.4,9.3,8,2.2,0.2,,,-0.2,0.2,0,0.006,-4.3,-1.2,-5.6,-0.3,31,85,0.365,,,,31,85,0.365,0.365,17,21,0.81,18,29,47,16,13,1,,33,79,0,0
1975,Leonard Gray,PF,23,SEA,75,,2280,12.6,0.514,,0.186,6,15.6,10.7,10,1.3,0.6,,,1.9,2,4,0.084,-0.8,0.3,-0.5,0.8,378,773,0.489,,,,378,773,0.489,0.489,104,144,0.722,133,345,478,163,63,24,,292,860,0,0
