Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AS,IFAS
1953,Jim Holstein,SF,22,MNL,66,,989,11.6,0.415,,0.383,,,,,,,,,0.2,1.6,1.8,0.087,,,,,98,274,0.358,,,,98,274,0.358,0.358,70,105,0.667,,,173,74,,,,128,266,0,0
1953,Bob Lochmueller,SF,25,SYR,62,,802,9,0.388,,0.498,,,,,,,,,-0.5,1,0.5,0.031,,,,,79,245,0.322,,,,79,245,0.322,0.322,74,122,0.607,,,162,47,,,,143,232,0,0
1953,Mo Mahoney,F,25,BOS,6,,34,12.3,0.492,,0.5,,,,,,,,,0.1,0,0.1,0.123,,,,,4,10,0.4,,,,4,10,0.4,0.4,4,5,0.8,,,7,1,,,,7,12,0,0
1953,Al Masino,PG,24,MLH,72,,1773,8.5,0.404,,0.51,,,,,,,,,0,2.2,2.2,0.058,,,,,134,400,0.335,,,,134,400,0.335,0.335,128,204,0.627,,,177,160,,,,252,396,0,0
1953,Jack McCloskey,SG,27,PHW,1,,16,7.8,0.333,,0,,,,,,,,,-0.1,0,0,-0.14,,,,,3,9,0.333,,,,3,9,0.333,0.333,0,0,,,,3,1,,,,2,6,0,0
1953,Bucky McConnell,PG,24,MLH,14,,297,11.6,0.406,,0.408,,,,,,,,,0.1,0.4,0.5,0.08,,,,,27,71,0.38,,,,27,71,0.38,0.38,14,29,0.483,,,34,41,,,,39,68,0,0
1953,George McLeod,F,22,BLB,10,,85,2.9,0.265,,0.938,,,,,,,,,-0.2,0,-0.2,-0.115,,,,,2,16,0.125,,,,2,16,0.125,0.125,8,15,0.533,,,21,4,,,,16,12,0,0
1953,Jack McMahon,PG,24,ROC,70,,1665,10,0.397,,0.442,,,,,,,,,-0.4,1.7,1.3,0.037,,,,,176,534,0.33,,,,176,534,0.33,0.33,155,236,0.657,,,183,186,,,,253,507,0,0
1953,Monk Meineke,PF,22,FTW,68,,2250,14.6,0.472,,0.497,,,,,,,,,3.6,2.5,6.1,0.13,,,,,240,630,0.381,,,,240,630,0.381,0.381,245,313,0.783,,,466,148,,,,334,725,0,0
1953,Eddie Miller,C,21,TOT,70,,2018,15.4,0.404,,0.367,,,,,,,,,-0.7,0.9,0.2,0.005,,,,,273,781,0.35,,,,273,781,0.35,0.35,187,287,0.652,,,669,115,,,,250,733,0,0
1953,Bill Mlkvy,SF,22,PHW,31,,608,9.5,0.339,,0.195,,,,,,,,,-1.4,0.4,-1,-0.082,,,,,75,246,0.305,,,,75,246,0.305,0.305,31,48,0.646,,,101,62,,,,54,181,0,0
1953,Jim Mooney,SF,22,PHW,18,,529,9.5,0.408,,0.27,,,,,,,,,0,0.2,0.2,0.019,,,,,54,148,0.365,,,,54,148,0.365,0.365,27,40,0.675,,,70,35,,,,50,135,0,0
1953,Bob Naber,F,23,INO,4,,11,-10.4,0.102,,0.5,,,,,,,,,-0.1,0,-0.1,-0.418,,,,,0,4,0,,,,0,4,0,0,1,2,0.5,,,5,1,,,,6,1,0,0
1953,John O'Boyle,SG,24,MLH,5,,97,3.4,0.361,,0.269,,,,,,,,,-0.1,0.1,0,-0.008,,,,,8,26,0.308,,,,8,26,0.308,0.308,5,7,0.714,,,10,5,,,,20,21,0,0
1953,Mike O'Neill,SF,,MLH,4,,50,4.6,0.32,,0.235,,,,,,,,,-0.1,0.1,-0.1,-0.064,,,,,4,17,0.235,,,,4,17,0.235,0.235,4,4,1,,,9,3,,,,10,12,0,0
1953,Claude Overton,SG,25,PHW,15,,182,6.3,0.329,,0.4,,,,,,,,,-0.5,0.1,-0.4,-0.115,,,,,19,75,0.253,,,,19,75,0.253,0.253,20,30,0.667,,,25,15,,,,25,58,0,0
1953,Ralph Polson,PF,23,TOT,49,,810,11,0.432,,0.536,,,,,,,,,0.3,0.5,0.8,0.047,,,,,65,179,0.363,,,,65,179,0.363,0.363,61,96,0.635,,,211,24,,,,102,191,0,0
1953,Bob Priddy,F,22,BLB,16,,149,7.8,0.408,,0.368,,,,,,,,,0,0,0,0.006,,,,,14,38,0.368,,,,14,38,0.368,0.368,8,14,0.571,,,36,7,,,,36,36,0,0
1953,Moe Radovich,PG,23,PHW,4,,33,20,0.474,,0.308,,,,,,,,,0.1,0,0.1,0.153,,,,,5,13,0.385,,,,5,13,0.385,0.385,4,4,1,,,1,8,,,,5,14,0,0
1953,Sherwin Raiken,G,24,NYK,6,,63,-3.2,0.184,,0.381,,,,,,,,,-0.4,0.1,-0.3,-0.253,,,,,3,21,0.143,,,,3,21,0.143,0.143,3,8,0.375,,,8,6,,,,10,9,0,0
1953,Gene Rhodes,SG,25,INO,65,,1162,11.2,0.405,,0.494,,,,,,,,,-0.1,1,0.9,0.037,,,,,109,342,0.319,,,,109,342,0.319,0.319,119,169,0.704,,,98,91,,,,78,337,0,0
